time,CA_210 PINN,CB,CC_210 PINN,CD_210 PINN
0.000000000000000000e+00,4.999658465385437012e-01,3.001330792903900146e-01,4.003569483757019043e-05,7.469579577445983887e-05
1.000000000000000021e-02,4.984938502311706543e-01,2.988269329071044922e-01,1.348890364170074463e-03,7.933820597827434540e-05
2.000000000000000042e-02,4.970304965972900391e-01,2.975296974182128906e-01,2.649605274200439453e-03,8.509494364261627197e-05
2.999999999999999889e-02,4.955757260322570801e-01,2.962411940097808838e-01,3.941901028156280518e-03,9.213760495185852051e-05
4.000000000000000083e-02,4.941297173500061035e-01,2.949615418910980225e-01,5.225803703069686890e-03,1.003658398985862732e-04
5.000000000000000278e-02,4.926922321319580078e-01,2.936906516551971436e-01,6.501365453004837036e-03,1.096311025321483612e-04
5.999999999999999778e-02,4.912637472152709961e-01,2.924285531044006348e-01,7.768537849187850952e-03,1.200155820697546005e-04
7.000000000000000666e-02,4.898442029953002930e-01,2.911753058433532715e-01,9.027283638715744019e-03,1.315220724791288376e-04
8.000000000000000167e-02,4.884332418441772461e-01,2.899308204650878906e-01,1.027776300907135010e-02,1.438939943909645081e-04
8.999999999999999667e-02,4.870311617851257324e-01,2.886951267719268799e-01,1.151981949806213379e-02,1.573585905134677887e-04
1.000000000000000056e-01,4.856379032135009766e-01,2.874682247638702393e-01,1.275346800684928894e-02,1.718574203550815582e-04
1.100000000000000006e-01,4.842533469200134277e-01,2.862500548362731934e-01,1.397879794239997864e-02,1.872738357633352280e-04
1.199999999999999956e-01,4.828777909278869629e-01,2.850404679775238037e-01,1.519577205181121826e-02,2.034946810454130173e-04
1.300000000000000044e-01,4.815111160278320312e-01,2.838397920131683350e-01,1.640440896153450012e-02,2.206631470471620560e-04
1.400000000000000133e-01,4.801530241966247559e-01,2.826475203037261963e-01,1.760473474860191345e-02,2.386935520917177200e-04
1.499999999999999944e-01,4.788035750389099121e-01,2.814639806747436523e-01,1.879679784178733826e-02,2.574885729700326920e-04
1.600000000000000033e-01,4.774630665779113770e-01,2.802889049053192139e-01,1.998060196638107300e-02,2.770433202385902405e-04
1.700000000000000122e-01,4.761312007904052734e-01,2.791224122047424316e-01,2.115610241889953613e-02,2.975598908960819244e-04
1.799999999999999933e-01,4.748080968856811523e-01,2.779643237590789795e-01,2.232336997985839844e-02,3.185737878084182739e-04
