tau,phenyl_acetate
1,0
1.5,10
2,14
2.5,64
3,94
3.5,78
4,100
4.5,108
5,140
5.5,174
6,152
6.5,158
7,188
7.5,206
8,208
8.5,194
9,190
9.5,188
10,224
10.5,214
11,222
11.5,218
12,222
