time,CA_190 PINN,CB,CC_190 PINN,CD_190 PINN
0.000000000000000000e+00,4.997516870498657227e-01,3.000616431236267090e-01,-3.072787076234817505e-04,3.734976053237915039e-05
1.000000000000000021e-02,4.987737238407135010e-01,2.992154359817504883e-01,5.260836333036422729e-04,3.608316183090209961e-05
2.000000000000000042e-02,4.977973997592926025e-01,2.983724176883697510e-01,1.356206834316253662e-03,3.523007035255432129e-05
2.999999999999999889e-02,4.968227148056030273e-01,2.975325584411621094e-01,2.183157950639724731e-03,3.485009074211120605e-05
4.000000000000000083e-02,4.958499670028686523e-01,2.966960966587066650e-01,3.006973303854465485e-03,3.472715616226196289e-05
5.000000000000000278e-02,4.948790967464447021e-01,2.958628535270690918e-01,3.827293403446674347e-03,3.498978912830352783e-05
5.999999999999999778e-02,4.939103126525878906e-01,2.950330078601837158e-01,4.644284956157207489e-03,3.556162118911743164e-05
7.000000000000000666e-02,4.929438233375549316e-01,2.942064702510833740e-01,5.457944236695766449e-03,3.650039434432983398e-05
8.000000000000000167e-02,4.919796288013458252e-01,2.933834195137023926e-01,6.268065422773361206e-03,3.764405846595764160e-05
8.999999999999999667e-02,4.910179078578948975e-01,2.925637364387512207e-01,7.074624300003051758e-03,3.917329013347625732e-05
1.000000000000000056e-01,4.900586903095245361e-01,2.917475700378417969e-01,7.877660915255546570e-03,4.092603921890258789e-05
1.100000000000000006e-01,4.891021847724914551e-01,2.909348011016845703e-01,8.677083998918533325e-03,4.289858043193817139e-05
1.199999999999999956e-01,4.881483614444732666e-01,2.901254892349243164e-01,9.472765028476715088e-03,4.513002932071685791e-05
1.300000000000000044e-01,4.871974587440490723e-01,2.893197238445281982e-01,1.026482321321964264e-02,4.762038588523864746e-05
1.400000000000000133e-01,4.862493872642517090e-01,2.885175645351409912e-01,1.105315051972866058e-02,5.034357309341430664e-05
1.499999999999999944e-01,4.853042364120483398e-01,2.877188920974731445e-01,1.183766871690750122e-02,5.322135984897613525e-05
1.600000000000000033e-01,4.843622446060180664e-01,2.869237661361694336e-01,1.261833496391773224e-02,5.632825195789337158e-05
1.700000000000000122e-01,4.834234416484832764e-01,2.861321866512298584e-01,1.339524239301681519e-02,5.978345870971679688e-05
1.799999999999999933e-01,4.824877977371215820e-01,2.853441536426544189e-01,1.416824199259281158e-02,6.321445107460021973e-05
1.900000000000000022e-01,4.815553128719329834e-01,2.845596969127655029e-01,1.493743248283863068e-02,6.687454879283905029e-05
2.000000000000000111e-01,4.806264340877532959e-01,2.837789058685302734e-01,1.570249907672405243e-02,7.077492773532867432e-05
2.099999999999999922e-01,4.797008335590362549e-01,2.830016613006591797e-01,1.646374724805355072e-02,7.481500506401062012e-05
2.200000000000000011e-01,4.787786602973937988e-01,2.822279930114746094e-01,1.722100749611854553e-02,7.892400026321411133e-05
2.300000000000000100e-01,4.778599143028259277e-01,2.814579308032989502e-01,1.797420345246791840e-02,8.339062333106994629e-05
