tau,phenyl_acetate
1,44
1.5,42
2,78
2.5,170
3,170
3.5,156
4,164
4.5,178
5,196
5.5,222
6,206
6.5,226
7,214
7.5,234
8,242
8.5,232
9,248
9.5,252
10,244
10.5,258
11,252
11.5,256
12,266
