time,CA_130 PINN,CB,CC_130 PINN,CD_130 PINN
0.000000000000000000e+00,5.000280737876892090e-01,1.500372409820556641e+00,3.377217799425125122e-04,-1.657791435718536377e-04
1.000000000000000021e-02,4.994814395904541016e-01,1.500074625015258789e+00,5.135778337717056274e-04,-1.497939229011535645e-05
2.000000000000000042e-02,4.991151094436645508e-01,1.499994277954101562e+00,5.770418792963027954e-04,-4.375353455543518066e-05
2.999999999999999889e-02,4.989396035671234131e-01,1.499793052673339844e+00,7.384959608316421509e-04,-5.977228283882141113e-05
4.000000000000000083e-02,4.985596835613250732e-01,1.499509334564208984e+00,1.074166968464851379e-03,-1.513995230197906494e-04
5.000000000000000278e-02,4.982207417488098145e-01,1.499268293380737305e+00,1.529449597001075745e-03,-2.846755087375640869e-04
5.999999999999999778e-02,4.977891743183135986e-01,1.498850822448730469e+00,1.641949638724327087e-03,-1.304633915424346924e-04
7.000000000000000666e-02,4.976618587970733643e-01,1.498654603958129883e+00,1.820934936404228210e-03,-8.553639054298400879e-05
8.000000000000000167e-02,4.973875582218170166e-01,1.498585700988769531e+00,2.039125189185142517e-03,-1.349337399005889893e-04
8.999999999999999667e-02,4.970375597476959229e-01,1.498229026794433594e+00,2.463614568114280701e-03,-2.982206642627716064e-04
1.000000000000000056e-01,4.964870810508728027e-01,1.497717380523681641e+00,2.685917541384696960e-03,-9.209290146827697754e-05
1.100000000000000006e-01,4.963692426681518555e-01,1.497330188751220703e+00,3.057098016142845154e-03,-2.328641712665557861e-04
1.199999999999999956e-01,4.958894550800323486e-01,1.497091054916381836e+00,3.367716446518898010e-03,-3.338940441608428955e-04
1.300000000000000044e-01,4.957754909992218018e-01,1.496852397918701172e+00,3.581965342164039612e-03,-3.364123404026031494e-04
1.400000000000000133e-01,4.954065382480621338e-01,1.496869802474975586e+00,3.957709297537803650e-03,-3.748871386051177979e-04
1.499999999999999944e-01,4.949433505535125732e-01,1.496445417404174805e+00,4.023229703307151794e-03,-1.715011894702911377e-04
1.600000000000000033e-01,4.946219325065612793e-01,1.496087789535522461e+00,4.449708387255668640e-03,-2.777017652988433838e-04
1.700000000000000122e-01,4.940811693668365479e-01,1.495678901672363281e+00,4.464527592062950134e-03,-1.403875648975372314e-04
1.799999999999999933e-01,4.942817389965057373e-01,1.496197938919067383e+00,5.222799256443977356e-03,-3.259219229221343994e-04
1.900000000000000022e-01,4.938067197799682617e-01,1.495107650756835938e+00,4.979958757758140564e-03,-2.335347235202789307e-04
2.000000000000000111e-01,4.934383630752563477e-01,1.494887113571166992e+00,5.402011796832084656e-03,-3.719367086887359619e-04
2.099999999999999922e-01,4.930632412433624268e-01,1.494906187057495117e+00,5.776105448603630066e-03,-4.525221884250640869e-04
2.200000000000000011e-01,4.927350878715515137e-01,1.494253635406494141e+00,5.919693037867546082e-03,-2.731867134571075439e-04
2.300000000000000100e-01,4.923143088817596436e-01,1.494015216827392578e+00,6.273897364735603333e-03,-3.469921648502349854e-04
2.399999999999999911e-01,4.922668635845184326e-01,1.493931293487548828e+00,6.338076665997505188e-03,-2.900697290897369385e-04
2.500000000000000000e-01,4.917753338813781738e-01,1.493402004241943359e+00,6.528994068503379822e-03,-1.829452812671661377e-04
2.600000000000000089e-01,4.915112555027008057e-01,1.493374586105346680e+00,7.219219580292701721e-03,-6.148107349872589111e-04
2.700000000000000178e-01,4.911004304885864258e-01,1.492842674255371094e+00,7.210655137896537781e-03,-3.397651016712188721e-04
2.800000000000000266e-01,4.908136725425720215e-01,1.492725372314453125e+00,7.606426253914833069e-03,-4.984922707080841064e-04
2.899999999999999800e-01,4.903789460659027100e-01,1.492171764373779297e+00,7.667725905776023865e-03,-2.938993275165557861e-04
2.999999999999999889e-01,4.899856448173522949e-01,1.492017269134521484e+00,7.997224107384681702e-03,-2.992190420627593994e-04
3.099999999999999978e-01,4.898093044757843018e-01,1.491703987121582031e+00,8.277596905827522278e-03,-4.254020750522613525e-04
3.200000000000000067e-01,4.895459711551666260e-01,1.491702795028686523e+00,8.504422381520271301e-03,-5.057938396930694580e-04
3.300000000000000155e-01,4.893483519554138184e-01,1.491420745849609375e+00,8.866256102919578552e-03,-5.478598177433013916e-04
3.400000000000000244e-01,4.888925552368164062e-01,1.490823030471801758e+00,8.931038901209831238e-03,-3.526248037815093994e-04
