tau,Phenol_65 PINN,cb,Phenyl Acetate_65 PINN,cd
0.000000000000000000e+00,1.663868576288223267e-01,3.556001186370849609e-01,-3.318078815937042236e-04,-4.094094038009643555e-06
1.000000000000000021e-02,1.661985516548156738e-01,3.554487228393554688e-01,-1.613534986972808838e-04,1.737177371978759766e-04
2.000000000000000042e-02,1.660063713788986206e-01,3.552904725074768066e-01,7.276888936758041382e-06,3.516487777233123779e-04
2.999999999999999889e-02,1.658105999231338501e-01,3.551256954669952393e-01,1.740353181958198547e-04,5.297809839248657227e-04
4.000000000000000083e-02,1.656114012002944946e-01,3.549551367759704590e-01,3.389692865312099457e-04,7.081143558025360107e-04
5.000000000000000278e-02,1.654088497161865234e-01,3.547789156436920166e-01,5.020254757255315781e-04,8.866973221302032471e-04
5.999999999999999778e-02,1.652031689882278442e-01,3.545973896980285645e-01,6.631063297390937805e-04,1.065474003553390503e-03
7.000000000000000666e-02,1.649945080280303955e-01,3.544112145900726318e-01,8.223636541515588760e-04,1.244518905878067017e-03
8.000000000000000167e-02,1.647830158472061157e-01,3.542205095291137695e-01,9.796109516173601151e-04,1.423817127943038940e-03
8.999999999999999667e-02,1.645688265562057495e-01,3.540256917476654053e-01,1.134928781539201736e-03,1.603376120328903198e-03
1.000000000000000056e-01,1.643521636724472046e-01,3.538273274898529053e-01,1.288350671529769897e-03,1.783225685358047485e-03
1.100000000000000006e-01,1.641331166028976440e-01,3.536255657672882080e-01,1.439824234694242477e-03,1.963343471288681030e-03
1.199999999999999956e-01,1.639118641614913940e-01,3.534209132194519043e-01,1.589347142726182938e-03,2.143789082765579224e-03
1.300000000000000044e-01,1.636885851621627808e-01,3.532135784626007080e-01,1.736915204674005508e-03,2.324480563402175903e-03
1.400000000000000133e-01,1.634634137153625488e-01,3.530039787292480469e-01,1.882517477497458458e-03,2.505462616682052612e-03
1.499999999999999944e-01,1.632364988327026367e-01,3.527924418449401855e-01,2.026240574195981026e-03,2.686735242605209351e-03
1.600000000000000033e-01,1.630079746246337891e-01,3.525792360305786133e-01,2.168042585253715515e-03,2.868276089429855347e-03
1.700000000000000122e-01,1.627779304981231689e-01,3.523646891117095947e-01,2.307990100234746933e-03,3.050062805414199829e-03
1.799999999999999933e-01,1.625465601682662964e-01,3.521490395069122314e-01,2.446026075631380081e-03,3.232087939977645874e-03
1.900000000000000022e-01,1.623139828443527222e-01,3.519325554370880127e-01,2.582247601822018623e-03,3.414381295442581177e-03
2.000000000000000111e-01,1.620803624391555786e-01,3.517155945301055908e-01,2.716584596782922745e-03,3.596868366003036499e-03
2.099999999999999922e-01,1.618457138538360596e-01,3.514983057975769043e-01,2.849131822586059570e-03,3.779571503400802612e-03
2.200000000000000011e-01,1.616101861000061035e-01,3.512809574604034424e-01,2.979928627610206604e-03,3.962483257055282593e-03
2.300000000000000100e-01,1.613740324974060059e-01,3.510638475418090820e-01,3.109039971604943275e-03,4.145551472902297974e-03
2.399999999999999911e-01,1.611372083425521851e-01,3.508470058441162109e-01,3.236385993659496307e-03,4.328783601522445679e-03
2.500000000000000000e-01,1.608999222517013550e-01,3.506308794021606445e-01,3.362075891345739365e-03,4.512090235948562622e-03
2.600000000000000089e-01,1.606621593236923218e-01,3.504154086112976074e-01,3.486152272671461105e-03,4.695538431406021118e-03
2.700000000000000178e-01,1.604241430759429932e-01,3.502009809017181396e-01,3.608619794249534607e-03,4.879076033830642700e-03
2.800000000000000266e-01,1.601858735084533691e-01,3.499875068664550781e-01,3.729491028934717178e-03,5.062598735094070435e-03
2.899999999999999800e-01,1.599474400281906128e-01,3.497753441333770752e-01,3.848952008411288261e-03,5.246188491582870483e-03
2.999999999999999889e-01,1.597089916467666626e-01,3.495645821094512939e-01,3.966935910284519196e-03,5.429785698652267456e-03
3.099999999999999978e-01,1.594705879688262939e-01,3.493553698062896729e-01,4.083492327481508255e-03,5.613345652818679810e-03
3.200000000000000067e-01,1.592322885990142822e-01,3.491477072238922119e-01,4.198702983558177948e-03,5.796808749437332153e-03
3.300000000000000155e-01,1.589941382408142090e-01,3.489417433738708496e-01,4.312533885240554810e-03,5.980174988508224487e-03
3.400000000000000244e-01,1.587562263011932373e-01,3.487375974655151367e-01,4.425175487995147705e-03,6.163451820611953735e-03
3.500000000000000333e-01,1.585186123847961426e-01,3.485353887081146240e-01,4.536561202257871628e-03,6.346505135297775269e-03
3.599999999999999867e-01,1.582814157009124756e-01,3.483351767063140869e-01,4.646889399737119675e-03,6.529439240694046021e-03
3.699999999999999956e-01,1.580446511507034302e-01,3.481369316577911377e-01,4.756051115691661835e-03,6.712105125188827515e-03
3.800000000000000044e-01,1.578083485364913940e-01,3.479407727718353271e-01,4.864177666604518890e-03,6.894569844007492065e-03
3.900000000000000133e-01,1.575725674629211426e-01,3.477467596530914307e-01,4.971259739249944687e-03,7.076691836118698120e-03
4.000000000000000222e-01,1.573372781276702881e-01,3.475548028945922852e-01,5.077471025288105011e-03,7.258523255586624146e-03
4.100000000000000311e-01,1.571027487516403198e-01,3.473650813102722168e-01,5.182664375752210617e-03,7.440034300088882446e-03
4.199999999999999845e-01,1.568686962127685547e-01,3.471775054931640625e-01,5.287240725010633469e-03,7.621105760335922241e-03
4.299999999999999933e-01,1.566353738307952881e-01,3.469921052455902100e-01,5.390923470258712769e-03,7.801812142133712769e-03
4.400000000000000022e-01,1.564028412103652954e-01,3.468090295791625977e-01,5.493892356753349304e-03,7.982123643159866333e-03
4.500000000000000111e-01,1.561709940433502197e-01,3.466280400753021240e-01,5.596213974058628082e-03,8.161868900060653687e-03
4.600000000000000200e-01,1.559399217367172241e-01,3.464493453502655029e-01,5.697948392480611801e-03,8.341137319803237915e-03
4.700000000000000289e-01,1.557095944881439209e-01,3.462726473808288574e-01,5.799072794616222382e-03,8.519943803548812866e-03
